NIST Control (source),NIST Catalog,NIST Release,Relationship,Equivalence,KSI ID,KSI Name,KSI Family,KSI Family Name
CP-2.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-TRC,Testing Recovery Capabilities,RPL,Recovery Planning
CP-2.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-2.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-RRO,Reviewing Recovery Objectives,RPL,Recovery Planning
CP-2.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-TRC,Testing Recovery Capabilities,RPL,Recovery Planning
CP-2.8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-GIV,Generating Inventories,PIY,Policy and Inventory
CP-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CED-RAT,Reviewing All Training,CED,Cybersecurity Education
CP-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-TRC,Testing Recovery Capabilities,RPL,Recovery Planning
CP-4.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RIS,Reviewing Investments in Security,PIY,Policy and Inventory
CP-4.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-4.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-TRC,Testing Recovery Capabilities,RPL,Recovery Planning
CP-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ABO,Aligning Backups with Objectives,RPL,Recovery Planning
CP-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-TRC,Testing Recovery Capabilities,RPL,Recovery Planning
