NIST Control (source),NIST Catalog,NIST Release,Relationship,Equivalence,KSI ID,KSI Name,KSI Family,KSI Family Name
AC-1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
AC-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
AC-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SNU,Securing Non-User Authentication,IAM,Identity and Access Management
AC-2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SUS,Responding to Suspicious Activity,IAM,Identity and Access Management
AC-2.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-2.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SUS,Responding to Suspicious Activity,IAM,Identity and Access Management
AC-2.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-AAM,Automating Account Management,IAM,Identity and Access Management
AC-2.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-2.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SNU,Securing Non-User Authentication,IAM,Identity and Access Management
AC-2.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-AAM,Automating Account Management,IAM,Identity and Access Management
AC-2.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-2.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SUS,Responding to Suspicious Activity,IAM,Identity and Access Management
AC-2.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-2.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-LET,Logging Event Types,MLA,"Monitoring, Logging, and Auditing"
AC-2.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-RVL,Reviewing Logs,MLA,"Monitoring, Logging, and Auditing"
AC-2.4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ACM,Automating Configuration Management,SVC,Service Configuration
AC-2.5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
AC-2.6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
AC-2.6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-2.13,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-AAM,Automating Account Management,IAM,Identity and Access Management
AC-2.13,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SUS,Responding to Suspicious Activity,IAM,Identity and Access Management
AC-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-APM,Adopting Passwordless Methods,IAM,Identity and Access Management
AC-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
AC-3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
AC-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-4,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SNU,Securing Non-User Authentication,IAM,Identity and Access Management
AC-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RIS,Reviewing Investments in Security,PIY,Policy and Inventory
AC-5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-PIY-RSD,Reviewing Security in the SDLC,PIY,Policy and Inventory
AC-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
AC-6,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-6.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-6.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-6.5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-6.5,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SNU,Securing Non-User Authentication,IAM,Identity and Access Management
AC-6.7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-AAM,Automating Account Management,IAM,Identity and Access Management
AC-6.7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-6.9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-6.9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-LET,Logging Event Types,MLA,"Monitoring, Logging, and Auditing"
AC-6.9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-RVL,Reviewing Logs,MLA,"Monitoring, Logging, and Auditing"
AC-6.10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-SUS,Responding to Suspicious Activity,IAM,Identity and Access Management
AC-12,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-ULN,Using Logical Networking,CNA,Cloud Native Architecture
AC-12,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
AC-14,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
AC-17,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
AC-17,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-JIT,Authorizing Just-in-Time,IAM,Identity and Access Management
AC-17.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
AC-17.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-LET,Logging Event Types,MLA,"Monitoring, Logging, and Auditing"
AC-17.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-MLA-OSM,Operating SIEM Capability,MLA,"Monitoring, Logging, and Auditing"
AC-17.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
AC-17.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-ASM,Automating Secret Management,SVC,Service Configuration
AC-17.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
AC-17.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-IBP,Implementing Best Practices,CNA,Cloud Native Architecture
AC-17.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
AC-17.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-RNT,Restricting Network Traffic,CNA,Cloud Native Architecture
AC-17.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-ULN,Using Logical Networking,CNA,Cloud Native Architecture
AC-17.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
AC-18.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
AC-18.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-CNA-MAT,Minimizing Attack Surface,CNA,Cloud Native Architecture
AC-20,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-IAM-ELP,Ensuring Least Privilege,IAM,Identity and Access Management
AC-20,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SCR-MIT,Mitigating Supply Chain Risk,SCR,Supply Chain Risk
